Date,Product_Category,Units_Sold,Unit_Price,Discount_Applied,Final_Price,Revenue,Marketing_Spend,Is_Weekend,Is_Holiday_Season,Macro_Economic_Index
2023-01-10,Eau de Toilette,34,85,0.0,85.0,2890.0,0.0,0,0,105.52
2023-01-10,Home Fragrance,32,45,0.0,45.0,1440.0,0.0,0,0,105.52
2023-01-10,Skincare Bundle,153,150,0.0,150.0,22950.0,2500.0,0,0,105.52
2023-01-11,Eau de Parfum,50,120,0.0,120.0,6000.0,500.0,0,0,105.43
2023-01-11,Eau de Toilette,66,85,0.2,68.0,4488.0,500.0,0,0,105.43
2023-01-11,Home Fragrance,64,45,0.0,45.0,2880.0,0.0,0,0,105.43
2023-01-11,Skincare Bundle,124,150,0.0,150.0,18600.0,2500.0,0,0,105.43
2023-01-12,Eau de Parfum,68,120,0.0,120.0,8160.0,,0,0,105.35
2023-01-12,Eau de Toilette,24,85,0.0,85.0,2040.0,0.0,0,0,105.35
2023-01-12,Home Fragrance,62,45,0.0,45.0,2790.0,1000.0,0,0,105.35
2023-01-12,Skincare Bundle,66,150,0.0,150.0,9900.0,500.0,0,0,105.35
2023-01-13,Eau de Parfum,78,120,0.0,120.0,9360.0,2500.0,0,0,105.26
2023-01-13,Eau de Toilette,50,85,0.0,85.0,4250.0,0.0,0,0,105.26
2023-01-13,Home Fragrance,34,45,0.2,36.0,1224.0,0.0,0,0,105.26
2023-01-13,Skincare Bundle,80,150,0.0,150.0,12000.0,0.0,0,0,105.26
2023-01-14,Eau de Parfum,46,120,0.0,120.0,5520.0,0.0,1,0,105.18
2023-01-14,Eau de Toilette,51,85,0.0,85.0,4335.0,500.0,1,0,105.18
2023-01-14,Home Fragrance,95,45,0.0,45.0,4275.0,2500.0,1,0,105.18
2023-01-14,Skincare Bundle,111,150,0.0,150.0,16650.0,0.0,1,0,105.18
2023-01-15,Eau de Parfum,48,120,0.0,120.0,5760.0,0.0,1,0,105.09
2023-01-15,Eau de Toilette,33,85,0.0,85.0,2805.0,0.0,1,0,105.09
2023-01-15,Home Fragrance,37,45,0.0,45.0,1665.0,0.0,1,0,105.09
2023-01-15,Skincare Bundle,117,150,0.0,150.0,17550.0,500.0,1,0,105.09
2023-01-16,Eau de Parfum,49,120,0.2,96.0,4704.0,0.0,0,0,105.01
2023-01-16,Eau de Toilette,61,85,0.0,85.0,5185.0,,0,0,105.01
2023-01-16,Home Fragrance,117,45,0.0,45.0,5265.0,2500.0,0,0,105.01
2023-01-16,Skincare Bundle,93,150,0.0,150.0,13950.0,1000.0,0,0,105.01
2023-01-17,Eau de Parfum,79,120,0.1,108.0,8532.0,500.0,0,0,104.92
2023-01-17,Eau de Toilette,45,85,0.0,85.0,3825.0,0.0,0,0,104.92
2023-01-17,Home Fragrance,73,45,0.2,36.0,2628.0,,0,0,104.92
2023-01-17,Skincare Bundle,92,150,0.0,150.0,13800.0,0.0,0,0,104.92
2023-01-18,Eau de Parfum,0,120,0.0,120.0,0.0,0.0,0,0,104.83
2023-01-18,Eau de Toilette,49,85,0.0,85.0,4165.0,500.0,0,0,104.83
2023-01-18,Home Fragrance,83,45,0.0,45.0,3735.0,1000.0,0,0,104.83
2023-01-18,Skincare Bundle,79,150,0.0,150.0,11850.0,1000.0,0,0,104.83
2023-01-19,Eau de Parfum,23,120,0.0,120.0,2760.0,0.0,0,0,104.74
2023-01-19,Eau de Toilette,55,85,0.0,85.0,4675.0,500.0,0,0,104.74
2023-01-19,Home Fragrance,42,45,0.0,45.0,1890.0,500.0,0,0,104.74
2023-01-19,Skincare Bundle,38,150,0.0,150.0,5700.0,0.0,0,0,104.74
2023-01-20,Eau de Parfum,36,120,0.1,108.0,3888.0,0.0,0,0,104.66
2023-01-20,Eau de Toilette,95,85,0.0,85.0,8075.0,0.0,0,0,104.66
2023-01-20,Home Fragrance,53,45,0.0,45.0,2385.0,0.0,0,0,104.66
2023-01-20,Skincare Bundle,74,150,0.0,150.0,11100.0,1000.0,0,0,104.66
2023-01-21,Eau de Parfum,64,120,0.0,120.0,7680.0,0.0,1,0,104.57
2023-01-21,Eau de Toilette,124,85,0.0,85.0,10540.0,1000.0,1,0,104.57
2023-01-21,Home Fragrance,31,45,0.1,40.5,1255.5,500.0,1,0,104.57
2023-01-21,Skincare Bundle,102,150,0.0,150.0,15300.0,0.0,1,0,104.57
2023-01-22,Eau de Parfum,51,120,0.0,120.0,6120.0,1000.0,1,0,104.48
2023-01-22,Eau de Toilette,64,85,0.0,85.0,5440.0,0.0,1,0,104.48
2023-01-22,Home Fragrance,73,45,0.0,45.0,3285.0,0.0,1,0,104.48
2023-01-22,Skincare Bundle,120,150,0.0,150.0,18000.0,1000.0,1,0,104.48
2023-01-23,Eau de Parfum,53,120,0.0,120.0,6360.0,0.0,0,0,104.39
2023-01-23,Eau de Toilette,32,85,0.0,85.0,2720.0,0.0,0,0,104.39
2023-01-23,Home Fragrance,56,45,0.0,45.0,2520.0,0.0,0,0,104.39
2023-01-23,Skincare Bundle,112,150,0.1,135.0,15120.0,,0,0,104.39
2023-01-24,Eau de Parfum,47,120,0.0,120.0,5640.0,0.0,0,0,104.3
2023-01-24,Eau de Toilette,37,85,0.0,85.0,3145.0,0.0,0,0,104.3
2023-01-24,Home Fragrance,78,45,0.0,45.0,3510.0,0.0,0,0,104.3
2023-01-24,Skincare Bundle,70,150,0.3,105.0,7350.0,0.0,0,0,104.3
2023-01-25,Eau de Parfum,43,120,0.0,120.0,5160.0,0.0,0,0,104.21
2023-01-25,Eau de Toilette,49,85,0.0,85.0,4165.0,0.0,0,0,104.21
2023-01-25,Home Fragrance,62,45,0.0,45.0,2790.0,500.0,0,0,104.21
2023-01-25,Skincare Bundle,125,150,0.0,150.0,18750.0,2500.0,0,0,104.21
2023-01-26,Eau de Parfum,57,120,0.0,120.0,6840.0,500.0,0,0,104.12
2023-01-26,Eau de Toilette,60,85,0.0,85.0,5100.0,,0,0,104.12
2023-01-26,Home Fragrance,50,45,0.0,45.0,2250.0,0.0,0,0,104.12
2023-01-26,Skincare Bundle,133,150,0.1,135.0,17955.0,500.0,0,0,104.12
2023-01-27,Eau de Parfum,56,120,0.0,120.0,6720.0,0.0,0,0,104.03
2023-01-27,Eau de Toilette,23,85,0.1,76.5,1759.5,500.0,0,0,104.03
2023-01-27,Home Fragrance,81,45,0.0,45.0,3645.0,500.0,0,0,104.03
2023-01-27,Skincare Bundle,60,150,0.1,135.0,8100.0,0.0,0,0,104.03
2023-01-28,Eau de Parfum,71,120,0.0,120.0,8520.0,0.0,1,0,103.93
2023-01-28,Eau de Toilette,47,85,0.1,76.5,3595.5,0.0,1,0,103.93
2023-01-28,Home Fragrance,49,45,0.1,40.5,1984.5,500.0,1,0,103.93
2023-01-28,Skincare Bundle,89,150,0.0,150.0,13350.0,500.0,1,0,103.93
2023-01-29,Eau de Parfum,97,120,0.1,108.0,10476.0,0.0,1,0,103.84
2023-01-29,Eau de Toilette,79,85,0.0,85.0,6715.0,500.0,1,0,103.84
2023-01-29,Home Fragrance,96,45,0.0,45.0,4320.0,1000.0,1,0,103.84
2023-01-29,Skincare Bundle,57,150,0.0,150.0,8550.0,1000.0,1,0,103.84
2023-01-30,Eau de Parfum,55,120,0.0,120.0,6600.0,500.0,0,0,103.75
2023-01-30,Eau de Toilette,72,85,0.0,85.0,6120.0,0.0,0,0,103.75
2023-01-30,Home Fragrance,45,45,0.0,45.0,2025.0,500.0,0,0,103.75
2023-01-30,Skincare Bundle,32,150,0.2,120.0,3840.0,500.0,0,0,103.75
2023-01-31,Eau de Parfum,74,120,0.0,120.0,8880.0,500.0,0,0,103.66
2023-01-31,Eau de Toilette,84,85,0.0,85.0,7140.0,1000.0,0,0,103.66
2023-01-31,Home Fragrance,45,45,0.0,45.0,2025.0,0.0,0,0,103.66
2023-01-31,Skincare Bundle,142,150,0.0,150.0,21300.0,1000.0,0,0,103.66
2023-02-01,Eau de Parfum,182,120,0.2,96.0,17472.0,0.0,0,1,103.56
2023-02-01,Eau de Toilette,73,85,0.2,68.0,4964.0,0.0,0,1,103.56
2023-02-01,Home Fragrance,110,45,0.2,36.0,3960.0,500.0,0,1,103.56
2023-02-01,Skincare Bundle,113,150,0.2,120.0,13560.0,0.0,0,1,103.56
2023-02-02,Eau de Parfum,127,120,0.2,96.0,12192.0,500.0,0,1,103.47
2023-02-02,Eau de Toilette,2,85,0.2,68.0,136.0,0.0,0,1,103.47
2023-02-02,Home Fragrance,89,45,0.2,36.0,3204.0,0.0,0,1,103.47
2023-02-02,Skincare Bundle,89,150,0.2,120.0,10680.0,0.0,0,1,103.47
2023-02-03,Eau de Parfum,139,120,0.2,96.0,13344.0,500.0,0,1,103.38
2023-02-03,Eau de Toilette,58,85,0.2,68.0,3944.0,0.0,0,1,103.38
2023-02-03,Home Fragrance,153,45,0.2,36.0,5508.0,0.0,0,1,103.38
2023-02-03,Skincare Bundle,137,150,0.2,120.0,16440.0,500.0,0,1,103.38
2023-02-04,Eau de Parfum,140,120,0.2,96.0,13440.0,500.0,1,1,103.28
2023-02-04,Eau de Toilette,171,85,0.2,68.0,11628.0,0.0,1,1,103.28
2023-02-04,Home Fragrance,42,45,0.2,36.0,1512.0,500.0,1,1,103.28
2023-02-04,Skincare Bundle,193,150,0.2,120.0,23160.0,500.0,1,1,103.28
2023-02-05,Eau de Parfum,201,120,0.2,96.0,19296.0,0.0,1,1,103.19
2023-02-05,Eau de Toilette,212,85,0.2,68.0,14416.0,2500.0,1,1,103.19
2023-02-05,Home Fragrance,145,45,0.3,31.5,4567.5,0.0,1,1,103.19
2023-02-05,Skincare Bundle,149,150,0.2,120.0,17880.0,0.0,1,1,103.19
2023-02-06,Eau de Parfum,140,120,0.2,96.0,13440.0,0.0,0,1,103.09
2023-02-06,Eau de Toilette,138,85,0.2,68.0,9384.0,0.0,0,1,103.09
2023-02-06,Home Fragrance,91,45,0.2,36.0,3276.0,,0,1,103.09
2023-02-06,Skincare Bundle,37,150,0.2,120.0,4440.0,0.0,0,1,103.09
2023-02-07,Eau de Parfum,233,120,0.2,96.0,22368.0,0.0,0,1,103.0
2023-02-07,Eau de Toilette,99,85,0.2,68.0,6732.0,0.0,0,1,103.0
2023-02-07,Home Fragrance,49,45,0.2,36.0,1764.0,0.0,0,1,103.0
2023-02-07,Skincare Bundle,110,150,0.2,120.0,13200.0,0.0,0,1,103.0
2023-02-08,Eau de Parfum,161,120,0.2,96.0,15456.0,0.0,0,1,102.9
2023-02-08,Eau de Toilette,217,85,0.2,68.0,14756.0,1000.0,0,1,102.9
2023-02-08,Home Fragrance,114,45,0.2,36.0,4104.0,1000.0,0,1,102.9
2023-02-08,Skincare Bundle,75,150,0.2,120.0,9000.0,500.0,0,1,102.9
2023-02-09,Eau de Parfum,95,120,0.2,96.0,9120.0,0.0,0,1,102.81
2023-02-09,Eau de Toilette,97,85,0.2,68.0,6596.0,1000.0,0,1,102.81
2023-02-09,Home Fragrance,66,45,0.2,36.0,2376.0,0.0,0,1,102.81
2023-02-09,Skincare Bundle,107,150,0.2,120.0,12840.0,0.0,0,1,102.81
2023-02-10,Eau de Parfum,83,120,0.2,96.0,7968.0,0.0,0,1,102.71
2023-02-10,Eau de Toilette,106,85,0.2,68.0,7208.0,0.0,0,1,102.71
2023-02-10,Home Fragrance,64,45,0.2,36.0,2304.0,500.0,0,1,102.71
2023-02-10,Skincare Bundle,120,150,0.2,120.0,14400.0,0.0,0,1,102.71
2023-02-11,Eau de Parfum,382,120,0.2,96.0,36672.0,1000.0,1,1,102.61
2023-02-11,Eau de Toilette,84,85,0.2,68.0,5712.0,0.0,1,1,102.61
2023-02-11,Home Fragrance,160,45,0.2,36.0,5760.0,0.0,1,1,102.61
2023-02-11,Skincare Bundle,111,150,0.2,120.0,13320.0,1000.0,1,1,102.61
2023-02-12,Eau de Parfum,286,120,0.2,96.0,27456.0,1000.0,1,1,102.52
2023-02-12,Eau de Toilette,99,85,0.2,68.0,6732.0,500.0,1,1,102.52
2023-02-12,Home Fragrance,109,45,0.2,36.0,3924.0,500.0,1,1,102.52
2023-02-12,Skincare Bundle,154,150,0.2,120.0,18480.0,0.0,1,1,102.52
2023-02-13,Eau de Parfum,179,120,0.2,96.0,17184.0,500.0,0,1,102.42
2023-02-13,Eau de Toilette,154,85,0.2,68.0,10472.0,500.0,0,1,102.42
2023-02-13,Home Fragrance,120,45,0.2,36.0,4320.0,0.0,0,1,102.42
2023-02-13,Skincare Bundle,106,150,0.2,120.0,12720.0,0.0,0,1,102.42
2023-02-14,Eau de Parfum,148,120,0.2,96.0,14208.0,0.0,0,1,102.32
2023-02-14,Eau de Toilette,100,85,0.2,68.0,6800.0,2500.0,0,1,102.32
2023-02-14,Home Fragrance,139,45,0.2,36.0,5004.0,2500.0,0,1,102.32
2023-02-14,Skincare Bundle,142,150,0.2,120.0,17040.0,1000.0,0,1,102.32
2023-02-15,Eau de Parfum,45,120,0.1,108.0,4860.0,0.0,0,0,102.22
2023-02-15,Eau de Toilette,51,85,0.0,85.0,4335.0,0.0,0,0,102.22
2023-02-15,Home Fragrance,48,45,0.0,45.0,2160.0,0.0,0,0,102.22
2023-02-15,Skincare Bundle,65,150,0.3,105.0,6825.0,500.0,0,0,102.22
2023-02-16,Eau de Parfum,45,120,0.0,120.0,5400.0,0.0,0,0,102.13
2023-02-16,Eau de Toilette,42,85,0.0,85.0,3570.0,0.0,0,0,102.13
2023-02-16,Home Fragrance,61,45,0.1,40.5,2470.5,2500.0,0,0,102.13
2023-02-16,Skincare Bundle,73,150,0.0,150.0,10950.0,2500.0,0,0,102.13
2023-02-17,Eau de Parfum,80,120,0.3,84.0,6720.0,0.0,0,0,102.03
2023-02-17,Eau de Toilette,53,85,0.0,85.0,4505.0,500.0,0,0,102.03
2023-02-17,Home Fragrance,19,45,0.0,45.0,855.0,500.0,0,0,102.03
2023-02-17,Skincare Bundle,59,150,0.1,135.0,7965.0,0.0,0,0,102.03
2023-02-18,Eau de Parfum,106,120,0.0,120.0,12720.0,0.0,1,0,101.93
2023-02-18,Eau de Toilette,64,85,0.0,85.0,5440.0,0.0,1,0,101.93
2023-02-18,Home Fragrance,110,45,0.1,40.5,4455.0,500.0,1,0,101.93
2023-02-18,Skincare Bundle,70,150,0.0,150.0,10500.0,1000.0,1,0,101.93
2023-02-19,Eau de Parfum,147,120,0.1,108.0,15876.0,1000.0,1,0,101.83
2023-02-19,Eau de Toilette,75,85,0.0,85.0,6375.0,500.0,1,0,101.83
2023-02-19,Home Fragrance,56,45,0.0,45.0,2520.0,0.0,1,0,101.83
2023-02-19,Skincare Bundle,48,150,0.0,150.0,7200.0,0.0,1,0,101.83
2023-02-20,Eau de Parfum,81,120,0.0,120.0,9720.0,0.0,0,0,101.73
2023-02-20,Eau de Toilette,35,85,0.1,76.5,2677.5,0.0,0,0,101.73
2023-02-20,Home Fragrance,64,45,0.0,45.0,2880.0,0.0,0,0,101.73
2023-02-20,Skincare Bundle,70,150,0.2,120.0,8400.0,0.0,0,0,101.73
2023-02-21,Eau de Parfum,54,120,0.0,120.0,6480.0,0.0,0,0,101.64
2023-02-21,Eau de Toilette,41,85,0.0,85.0,3485.0,0.0,0,0,101.64
2023-02-21,Home Fragrance,49,45,0.0,45.0,2205.0,0.0,0,0,101.64
2023-02-21,Skincare Bundle,79,150,0.0,150.0,11850.0,500.0,0,0,101.64
2023-02-22,Eau de Parfum,51,120,0.0,120.0,6120.0,0.0,0,0,101.54
2023-02-22,Eau de Toilette,37,85,0.0,85.0,3145.0,0.0,0,0,101.54
2023-02-22,Home Fragrance,30,45,0.0,45.0,1350.0,0.0,0,0,101.54
2023-02-22,Skincare Bundle,73,150,0.0,150.0,10950.0,2500.0,0,0,101.54
2023-02-23,Eau de Parfum,94,120,0.0,120.0,11280.0,0.0,0,0,101.44
2023-02-23,Eau de Toilette,61,85,0.0,85.0,5185.0,500.0,0,0,101.44
2023-02-23,Home Fragrance,42,45,0.0,45.0,1890.0,1000.0,0,0,101.44
2023-02-23,Skincare Bundle,65,150,0.0,150.0,9750.0,500.0,0,0,101.44
2023-02-24,Eau de Parfum,98,120,0.0,120.0,11760.0,1000.0,0,0,101.34
2023-02-24,Eau de Toilette,55,85,0.2,68.0,3740.0,0.0,0,0,101.34
2023-02-24,Home Fragrance,75,45,0.0,45.0,3375.0,1000.0,0,0,101.34
2023-02-24,Skincare Bundle,48,150,0.0,150.0,7200.0,0.0,0,0,101.34
2023-02-25,Eau de Parfum,74,120,0.2,96.0,7104.0,0.0,1,0,101.24
2023-02-25,Eau de Toilette,63,85,0.2,68.0,4284.0,500.0,1,0,101.24
2023-02-25,Home Fragrance,54,45,0.0,45.0,2430.0,0.0,1,0,101.24
2023-02-25,Skincare Bundle,150,150,0.2,120.0,18000.0,1000.0,1,0,101.24
2023-02-26,Eau de Parfum,109,120,0.1,108.0,11772.0,0.0,1,0,101.14
2023-02-26,Eau de Toilette,63,85,0.0,85.0,5355.0,0.0,1,0,101.14
2023-02-26,Home Fragrance,56,45,0.3,31.5,1764.0,,1,0,101.14
2023-02-26,Skincare Bundle,79,150,0.0,150.0,11850.0,0.0,1,0,101.14
2023-02-27,Eau de Parfum,63,120,0.0,120.0,7560.0,0.0,0,0,101.04
2023-02-27,Eau de Toilette,112,85,0.2,68.0,7616.0,2500.0,0,0,101.04
2023-02-27,Home Fragrance,44,45,0.1,40.5,1782.0,500.0,0,0,101.04
2023-02-27,Skincare Bundle,48,150,0.0,150.0,7200.0,0.0,0,0,101.04
2023-02-28,Eau de Parfum,83,120,0.0,120.0,9960.0,0.0,0,0,100.94
2023-02-28,Eau de Toilette,48,85,0.2,68.0,3264.0,1000.0,0,0,100.94
2023-02-28,Home Fragrance,25,45,0.0,45.0,1125.0,0.0,0,0,100.94
2023-02-28,Skincare Bundle,58,150,0.0,150.0,8700.0,0.0,0,0,100.94
2023-03-01,Eau de Parfum,47,120,0.2,96.0,4512.0,0.0,0,0,100.84
2023-03-01,Eau de Toilette,35,85,0.0,85.0,2975.0,500.0,0,0,100.84
2023-03-01,Home Fragrance,25,45,0.1,40.5,1012.5,0.0,0,0,100.84
2023-03-01,Skincare Bundle,40,150,0.1,135.0,5400.0,500.0,0,0,100.84
2023-03-02,Eau de Parfum,68,120,0.2,96.0,6528.0,0.0,0,0,100.74
2023-03-02,Eau de Toilette,29,85,0.0,85.0,2465.0,0.0,0,0,100.74
2023-03-02,Home Fragrance,46,45,0.0,45.0,2070.0,0.0,0,0,100.74
2023-03-02,Skincare Bundle,67,150,0.1,135.0,9045.0,0.0,0,0,100.74
2023-03-03,Eau de Parfum,11,120,0.0,120.0,1320.0,0.0,0,0,100.64
2023-03-03,Eau de Toilette,44,85,0.0,85.0,3740.0,0.0,0,0,100.64
2023-03-03,Home Fragrance,53,45,0.2,36.0,1908.0,0.0,0,0,100.64
2023-03-03,Skincare Bundle,57,150,0.1,135.0,7695.0,0.0,0,0,100.64
2023-03-04,Eau de Parfum,78,120,0.0,120.0,9360.0,0.0,1,0,100.54
2023-03-04,Eau de Toilette,52,85,0.0,85.0,4420.0,0.0,1,0,100.54
2023-03-04,Home Fragrance,58,45,0.0,45.0,2610.0,0.0,1,0,100.54
2023-03-04,Skincare Bundle,68,150,0.0,150.0,10200.0,500.0,1,0,100.54
2023-03-05,Eau de Parfum,43,120,0.0,120.0,5160.0,0.0,1,0,100.44
2023-03-05,Eau de Toilette,84,85,0.0,85.0,7140.0,,1,0,100.44
2023-03-05,Home Fragrance,33,45,0.0,45.0,1485.0,500.0,1,0,100.44
2023-03-05,Skincare Bundle,100,150,0.0,150.0,15000.0,1000.0,1,0,100.44
2023-03-06,Eau de Parfum,28,120,0.0,120.0,3360.0,0.0,0,0,100.34
2023-03-06,Eau de Toilette,48,85,0.0,85.0,4080.0,0.0,0,0,100.34
2023-03-06,Home Fragrance,54,45,0.0,45.0,2430.0,0.0,0,0,100.34
2023-03-06,Skincare Bundle,24,150,0.0,150.0,3600.0,0.0,0,0,100.34
2023-03-07,Eau de Parfum,47,120,0.0,120.0,5640.0,0.0,0,0,100.24
2023-03-07,Eau de Toilette,55,85,0.0,85.0,4675.0,0.0,0,0,100.24
2023-03-07,Home Fragrance,65,45,0.3,31.5,2047.5,0.0,0,0,100.24
2023-03-07,Skincare Bundle,74,150,0.0,150.0,11100.0,500.0,0,0,100.24
2023-03-08,Eau de Parfum,97,120,0.0,120.0,11640.0,1000.0,0,0,100.14
2023-03-08,Eau de Toilette,64,85,0.0,85.0,5440.0,1000.0,0,0,100.14
2023-03-08,Home Fragrance,62,45,0.0,45.0,2790.0,0.0,0,0,100.14
2023-03-08,Skincare Bundle,45,150,0.3,105.0,4725.0,500.0,0,0,100.14
2023-03-09,Eau de Parfum,49,120,0.0,120.0,5880.0,500.0,0,0,100.04
2023-03-09,Eau de Toilette,65,85,0.1,76.5,4972.5,0.0,0,0,100.04
2023-03-09,Home Fragrance,41,45,0.2,36.0,1476.0,0.0,0,0,100.04
2023-03-09,Skincare Bundle,84,150,0.0,150.0,12600.0,1000.0,0,0,100.04
2023-03-10,Eau de Parfum,58,120,0.0,120.0,6960.0,0.0,0,0,99.94
2023-03-10,Eau de Toilette,52,85,0.0,85.0,4420.0,0.0,0,0,99.94
2023-03-10,Home Fragrance,57,45,0.0,45.0,2565.0,0.0,0,0,99.94
2023-03-10,Skincare Bundle,52,150,0.0,150.0,7800.0,0.0,0,0,99.94
2023-03-11,Eau de Parfum,96,120,0.0,120.0,11520.0,1000.0,1,0,99.84
2023-03-11,Eau de Toilette,39,85,0.0,85.0,3315.0,0.0,1,0,99.84
2023-03-11,Home Fragrance,106,45,0.0,45.0,4770.0,0.0,1,0,99.84
2023-03-11,Skincare Bundle,72,150,0.1,135.0,9720.0,0.0,1,0,99.84
2023-03-12,Eau de Parfum,73,120,0.0,120.0,8760.0,2500.0,1,0,99.74
2023-03-12,Eau de Toilette,43,85,0.0,85.0,3655.0,0.0,1,0,99.74
2023-03-12,Home Fragrance,57,45,0.3,31.5,1795.5,500.0,1,0,99.74
2023-03-12,Skincare Bundle,75,150,0.2,120.0,9000.0,500.0,1,0,99.74
2023-03-13,Eau de Parfum,62,120,0.0,120.0,7440.0,0.0,0,0,99.64
2023-03-13,Eau de Toilette,72,85,0.0,85.0,6120.0,500.0,0,0,99.64
2023-03-13,Home Fragrance,46,45,0.0,45.0,2070.0,1000.0,0,0,99.64
2023-03-13,Skincare Bundle,35,150,0.1,135.0,4725.0,0.0,0,0,99.64
2023-03-14,Eau de Parfum,81,120,0.1,108.0,8748.0,,0,0,99.54
2023-03-14,Eau de Toilette,40,85,0.0,85.0,3400.0,0.0,0,0,99.54
2023-03-14,Home Fragrance,67,45,0.0,45.0,3015.0,500.0,0,0,99.54
2023-03-14,Skincare Bundle,72,150,0.0,150.0,10800.0,1000.0,0,0,99.54
2023-03-15,Eau de Parfum,69,120,0.0,120.0,8280.0,0.0,0,0,99.44
2023-03-15,Eau de Toilette,56,85,0.0,85.0,4760.0,500.0,0,0,99.44
2023-03-15,Home Fragrance,72,45,0.0,45.0,3240.0,0.0,0,0,99.44
2023-03-15,Skincare Bundle,86,150,0.0,150.0,12900.0,2500.0,0,0,99.44
2023-03-16,Eau de Parfum,45,120,0.2,96.0,4320.0,0.0,0,0,99.34
2023-03-16,Eau de Toilette,69,85,0.0,85.0,5865.0,0.0,0,0,99.34
2023-03-16,Home Fragrance,71,45,0.0,45.0,3195.0,500.0,0,0,99.34
2023-03-16,Skincare Bundle,58,150,0.1,135.0,7830.0,0.0,0,0,99.34
2023-03-17,Eau de Parfum,73,120,0.0,120.0,8760.0,1000.0,0,0,99.24
2023-03-17,Eau de Toilette,45,85,0.0,85.0,3825.0,0.0,0,0,99.24
2023-03-17,Home Fragrance,67,45,0.0,45.0,3015.0,1000.0,0,0,99.24
2023-03-17,Skincare Bundle,93,150,0.0,150.0,13950.0,500.0,0,0,99.24
2023-03-18,Eau de Parfum,51,120,0.1,108.0,5508.0,0.0,1,0,99.14
2023-03-18,Eau de Toilette,50,85,0.2,68.0,3400.0,500.0,1,0,99.14
2023-03-18,Home Fragrance,83,45,0.1,40.5,3361.5,0.0,1,0,99.14
2023-03-18,Skincare Bundle,72,150,0.0,150.0,10800.0,0.0,1,0,99.14
